NUTS_ID,CAPRI_NUTS_ID,NUTS_NAME,NUTS_YEAR,IS_ARTIFICIAL
RO22,RO020000,Sud-Est,2010,0
RO31,RO030000,Sud,2010,0
RO32,RO080000,Bucuresti,2010,0
RO41,RO040000,Sud-Vest Oltenia,2010,0
RO42,RO050000,Vest,2010,0
SE11,SE010000,Stockholm,2010,0
SE12,SE020000,Östra Mellansverige,2010,0
SE21,SE090000,Småland med öarna,2010,0
SE22,SE040000,Sydsverige,2010,0
SE23,SE0A0000,Västsverige,2010,0
SE31,SE060000,Norra Mellansverige,2010,0
SE32,SE070000,Mellersta Norrland,2010,0
SE33,SE080000,Övre Norrland,2010,0
SK01,SK010000,Bratislavský kraj,2010,0
SK02,SK020000,Západné Slovensko,2010,0
SK04,SK040000,Východné Slovensko,2010,0
TR10,TR100000,"	Istanbul	",2010,0
TR21,TR210000,"	Tekirdag	",2010,0
TR22,TR220000,"	Balikesir	",2010,0
TR31,TR310000,"	Izmir	",2010,0
TR32,TR320000,"	Aydin	",2010,0
TR33,TR330000,"	Manisa	",2010,0
TR41,TR410000,"	Bursa	",2010,0
TR42,TR420000,"	Kocaeli	",2010,0
TR51,TR510000,"	Ankara	",2010,0
TR52,TR520000,"	Konya	",2010,0
TR61,TR610000,"	Antalya	",2010,0
TR62,TR620000,"	Adana	",2010,0
TR63,TR630000,"	Hatay	",2010,0
TR71,TR710000,"	Kirikkale	",2010,0
TR72,TR720000,"	Kayseri	",2010,0
TR81,TR810000,"	Zonguldak	",2010,0
TR82,TR820000,"	Kastamonu	",2010,0
TR83,TR830000,"	Samsun	",2010,0
TR90,TR900000,"	Dogu Karadeniz	",2010,0
TRA1,TRA10000,"	Erzurum	",2010,0
TRA2,TRA20000,"	Agri	",2010,0
TRB1,TRB10000,"	Malatya	",2010,0
TRB2,TRB20000,"	Van	",2010,0
TRC1,TRC10000,"	Gaziantep	",2010,0
TRC2,TRC20000,"	Sanliurfa	",2010,0
TRC3,TRC30000,"	Mardin	",2010,0
UKC,UKC00000,NORTH EAST (ENGLAND),2006,0
UKD,UKD00000,NORTH WEST (ENGLAND),2006,0
UKE,UKE00000,YORKSHIRE AND THE HUMBER,2006,0
UKF,UKF00000,EAST MIDLANDS (ENGLAND),2006,0
UKG,UKG00000,WEST MIDLANDS (ENGLAND),2006,0
UKH,UKH00000,EAST OF ENGLAND,2006,0
UKI,UKI00000,LONDON,2006,0
UKJ,UKJ00000,SOUTH EAST (ENGLAND),2006,0
UKK,UKK00000,SOUTH WEST (ENGLAND),2006,0
UKL,UKL00000,WALES,2006,0
UKM,UKM00000,SCOTLAND,2006,0
UKN,UKN00000,NORTHERN IRELAND,2006,0
DEG0,DEG00000,Thüringen,2003,0
DEC0,DEC00000,Saarland,2003,0
FI1A,FI1A0000,Pohjois-Suomi,2006,0
SK03,SK030000,Stredné Slovensko,2010,0
CY,CY000000,Cyprus,2010,0
EE,EE000000,Estonia,2010,0
LT,LT000000,Lithuania,2010,0
LU,BL400000,Luxembourg,2010,0
LV,LV000000,Latvia,2010,0
MT,MT000000,Malta,2010,0
HR,HR000000,Croatia,2010,0
DK,DK000000,Denmark,2010,0
SI,SI000000,Slovenia,2010,0
AT,AT000000,Austria,,1
BL,BL000000,Belgium and Luxembourg,,1
CZ,CZ000000,Czech Republic,,1
DE,DE000000,Germany,,1
EL,EL000000,Greece,,1
ES,ES000000,Spain,,1
FI,FI000000,Finland,,1
FR,FR000000,France,,1
HU,HU000000,Hungary,,1
IE,IR000000,Ireland,,1
IT,IT000000,Italy,,1
NL,NL000000,The Netherlands,,1
PL,PL000000,Poland,,1
PT,PT000000,Portugal,,1
RO,RO000000,Romania,,1
SE,SE000000,Sweden,,1
SK,SK000000,Slovakia,,1
TR,TR000000,Turkey,,1
BG,BG000000,Bulgaria,,1
UK,UK000000,United Kingdom,,1
